x;y;z
1;1;19
2;1;20
3;1;19
4;1;22
5;1;19
6;1;19
7;1;18
8;1;19
9;1;19
10;1;19
11;1;19
1;2;17
2;2;17
3;2;17
4;2;19
5;2;23
6;2;19
7;2;19
8;2;19
9;2;19
10;2;0
11;2;20
1;3;18
2;3;18
3;3;18
4;3;18
5;3;18
6;3;18
7;3;18
8;3;18
9;3;19
10;3;19
11;3;19
1;4;19
2;4;18
3;4;18
4;4;18
5;4;19
6;4;18
7;4;18
8;4;18
9;4;19
10;4;19
11;4;19
1;5;7
2;5;18
3;5;18
4;5;18
5;5;15
6;5;16
7;5;16
8;5;17
9;5;18
10;5;18
11;5;17
1;6;19
2;6;17
3;6;18
4;6;18
5;6;17
6;6;17
7;6;16
8;6;18
9;6;17
10;6;15
11;6;15
1;7;17
2;7;18
3;7;19
4;7;17
5;7;18
6;7;18
7;7;18
8;7;18
9;7;18
10;7;18
11;7;18
1;8;17
2;8;18
3;8;19
4;8;17
5;8;18
6;8;18
7;8;18
8;8;18
9;8;18
10;8;18
11;8;18
